id_discente,sexo,ano_nascimento,raca,estado_origem,cidade_origem,estado,municipio,nivel_ensino,ano_ingresso,periodo_ingresso,cotista,curso,tipo_cota,descricao_tipo_cota,ano,periodo,renda,possui_bolsa_pesquisa,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia,id_curso,area_conhecimento
2513138981f724002af56e36b6a7b190,M,1968,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2007,1,f,MATEMÁTICA,,,2020,1,268,false,true,false,false,2000054,Ciências Exatas e da Terra
2ab19c39ca9e7eeeedcda7ecfe0ec20d,F,1983,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2007,2,f,ENGENHARIA CIVIL,,,2020,1,1500,false,false,true,false,2000025,Engenharias
2ab19c39ca9e7eeeedcda7ecfe0ec20d,F,1983,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2007,2,f,ENGENHARIA CIVIL,,,2020,1,1500,false,true,false,false,2000025,Engenharias
d5796722090b1c0369ca9783970ce53d,F,1985,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2007,2,f,ZOOTECNIA,,,2020,1,1000,false,false,false,false,2000072,
cdc5a78f760dc975ddfd01669913bd7f,M,1988,Negro,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2008,2,f,ENGENHARIA MECÂNICA,,,2020,1,750,false,false,false,false,2000031,Engenharias
4d0394a9efd4aaf695e9a22f3de92719,F,1990,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2009,2,f,ENGENHARIA DE PRODUÇÃO,,,2020,1,1182,false,false,false,false,2000029,Engenharias
f0916a4a012fe8df1c3d11c618943c9c,M,1982,Negro,Bahia,SALVADOR,Rio Grande do Norte,NATAL,GRADUAÇÃO,2010,2,f,BIOMEDICINA,,,2020,1,6000,false,false,false,false,2000122,Ciências Biológicas
f54df9c83e5b9f48a7cd139970d43bc0,F,1991,Não Informado,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2010,2,f,ECOLOGIA,,,2020,1,390,false,false,false,false,2000121,Ciências Biológicas
0bcf05ed9ec8beaedba75ac7c9266a21,F,1980,Pardo,Rio Grande do Norte,MOSSORÓ,Rio Grande do Norte,NATAL,GRADUAÇÃO,2010,2,f,DESIGN,,,2020,1,4500,false,false,false,false,6992521,"Linguística, Letras e Artes"
e6ad9eb56998666971581c76c641370b,F,1990,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2010,1,f,FARMÁCIA,,,2020,1,1785,false,false,false,false,2000039,Ciências da Saúde
6c7d98e4d8960f0f5dda6d0699dccc84,F,1991,Negro,Rio Grande do Norte,PARNAMIRIM,Rio Grande do Norte,PARNAMIRIM,GRADUAÇÃO,2011,2,f,FARMÁCIA,,,2020,1,0,false,true,false,false,2000039,Ciências da Saúde
c6bc5352a43f2a58e63d27023cf10168,F,1973,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2011,2,f,BIOMEDICINA,,,2020,1,1045,false,false,false,false,2000122,Ciências Biológicas
24429a4b07d9184c206ada21e7f75d54,F,1993,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,GRADUAÇÃO,2011,1,f,QUÍMICA DO PETRÓLEO,,,2020,1,550,false,true,false,false,3156200,Ciências Exatas e da Terra
0902abb58ef87ff4d67f80720e9b4dd1,F,1993,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NOVA CRUZ,GRADUAÇÃO,2011,1,f,ENGENHARIA TÊXTIL,,,2020,1,1713,false,true,false,true,2000033,Engenharias
e3472cc95bb5b476e672aa150b9d3115,M,1993,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,GRADUAÇÃO,2011,2,f,CIÊNCIAS BIOLÓGICAS,,,2020,1,2198,false,true,false,false,111635035,Ciências Biológicas
